id,symbol,category
pyth-pyth-network,PYTH,"Data, Oracles & Storage"
matic-polygon,MATIC,Other
vsn-vision,VSN,Other
ethfi-etherfi,ETHFI,Other
solvbtcbbn-solv-protocol-solvbtcbbn,SOLVBTCBBN,Other
bsv-bitcoin-sv,BSV,Layer 1s
strk-starknet,STRK,Layer 2s & Scaling
btcb-bitcoin-avalanche-bridged-btcb,BTC.B,Other
bdx-beldex,BDX,Other
zbu-zeebu,ZBU,Other
tusd-trueusd,TUSD,Stablecoins
tel-telcoin,TEL,Other
morpho-morpho,MORPHO,DeFi Core
beth-binance-beacon-eth,BETH,Other
botx-botxcoin,BOTX,Other
klay-klaytn,KLAY,Other
usdd-usdd,USDD,Other
neo-neo,NEO,Layer 1s
brett-brett-base,BRETT,Memecoins
rsr-reserve-rights,RSR,DeFi Core
wtrx-wrapped-trx,WTRX,Other
nft-apenft,NFT,"Consumer (e.g. Gaming, NFTs)"
dydx-dydx-chain,DYDX,DeFi Core
ar-arweave,AR,"Data, Oracles & Storage"
ape-apecoin,APE,"Consumer (e.g. Gaming, NFTs)"
hnt-helium,HNT,Layer 1s
sfrxeth-staked-frax-ether,SFRXETH,Other
rune-thorchain,RUNE,DeFi Core
sun-sun,SUN,DeFi Core
dexe-dexe,DEXE,Other
luna-terra,LUNC,Layer 1s
usdb-usdb,USDB,Other
egld-elrond,EGLD,Layer 1s
kava-kava,KAVA,Layer 1s
axs-axie-infinity,AXS,"Consumer (e.g. Gaming, NFTs)"
chz-chiliz,CHZ,"Consumer (e.g. Gaming, NFTs)"
xec-ecash,XEC,Payments
teth-treehouse-eth,TETH,Other
core-core-dao,CORE,Layer 1s
comp-compoundd,COMP,DeFi Core
kta-keeta,KTA,Other
aioz-aioz-network,AIOZ,"Data, Oracles & Storage"
ebtc-etherfi-staked-btc,EBTC,Other
beam-beam-eth,BEAM,"Consumer (e.g. Gaming, NFTs)"
w-wormhole,W,Layer 2s & Scaling
usr-resolv-usr,USR,Other
ath14-aethir,ATH,Other
ohmv2-olympus-v2,OHMv2,Other
xcn-chain,XCN,Other
cvx-convex-finance,CVX,Other
