ID,Symbol,Category
zec-zcash,ZEC,Layer 1s
usdce-usd-coine,USDC.e,Stablecoins
mkr-maker,MKR,Decentralized Finance
flow-flow,FLOW,Layer 1s
ab-ab,AB,Decentralized Finance
frax-frax,FRAX,Stablecoins
ethx-stader-ethx,ETHX,Liquid Staking
mana-decentraland,MANA,"Consumer (e.g. Gaming, NFTs)"
bttc-bittorrent-chain,BTT,"Data, Oracles & Storage"
cbeth-coinbase-wrapped-staked-eth,CBETH,Liquid Staking
gala-gala,GALA,"Consumer (e.g. Gaming, NFTs)"
syrup-syrup-token,SYRUP,Decentralized Finance
b-buildon,B,Decentralized Finance
plsx-pulsex,PLSX,Decentralized Finance
sweth-swell-ethereum,SWETH,Decentralized Finance
pls-pulsechain,PLS,"Data, Oracles & Storage"
frxeth-frax-ether,FRXETH,Decentralized Finance
jto-jito,JTO,Decentralized Finance
wal-walrus,WAL,Decentralized Finance
pyth-pyth-network,PYTH,"Data, Oracles & Storage"
matic-polygon,MATIC,Layer 2s & Scaling
vsn-vision,VSN,Decentralized Finance
ethfi-etherfi,ETHFI,Decentralized Finance
solvbtcbbn-solv-protocol-solvbtcbbn,SOLVBTCBBN,Decentralized Finance
bsv-bitcoin-sv,BSV,Layer 1s
strk-starknet,STRK,Layer 2s & Scaling
btcb-bitcoin-avalanche-bridged-btcb,BTC.B,Decentralized Finance
bdx-beldex,BDX,Decentralized Finance
zbu-zeebu,ZBU,Decentralized Finance
tusd-trueusd,TUSD,Stablecoins
tel-telcoin,TEL,Decentralized Finance
morpho-morpho,MORPHO,Decentralized Finance
beth-binance-beacon-eth,BETH,Exchange & CeFi Tokens
botx-botxcoin,BOTX,Decentralized Finance
klay-klaytn,KLAY,Layer 1s
usdd-usdd,USDD,Stablecoins
neo-neo,NEO,Layer 1s
brett-brett-base,BRETT,Memecoins
rsr-reserve-rights,RSR,Decentralized Finance
wtrx-wrapped-trx,WTRX,Decentralized Finance
nft-apenft,NFT,"Consumer (e.g. Gaming, NFTs)"
dydx-dydx-chain,DYDX,Decentralized Finance
ar-arweave,AR,"Data, Oracles & Storage"
ape-apecoin,APE,"Consumer (e.g. Gaming, NFTs)"
hnt-helium,HNT,Layer 1s
sfrxeth-staked-frax-ether,SFRXETH,Liquid Staking
rune-thorchain,RUNE,Decentralized Finance
sun-sun,SUN,Decentralized Finance
dexe-dexe,DEXE,Decentralized Finance
luna-terra,LUNC,Layer 1s
usdb-usdb,USDB,Stablecoins
egld-elrond,EGLD,Layer 1s
kava-kava,KAVA,Layer 1s
axs-axie-infinity,AXS,"Consumer (e.g. Gaming, NFTs)"
chz-chiliz,CHZ,"Consumer (e.g. Gaming, NFTs)"
xec-ecash,XEC,Payments
teth-treehouse-eth,TETH,Decentralized Finance
core-core-dao,CORE,Layer 1s
